nose_x,nose_y,leftEye_x,leftEye_y,rightEye_x,rightEye_y,leftEar_x,leftEar_y,rightEar_x,rightEar_y,leftShoulder_x,leftShoulder_y,rightShoulder_x,rightShoulder_y,leftElbow_x,leftElbow_y,rightElbow_x,rightElbow_y,leftWrist_x,leftWrist_y,rightWrist_x,rightWrist_y,leftHip_x,leftHip_y,rightHip_x,rightHip_y,leftKnee_x,leftKnee_y,rightKnee_x,rightKnee_y,leftAnkle_x,leftAnkle_y,rightAnkle_x,rightAnkle_y
506.53579997659176,350.0572404611423,569.6750643726592,307.89845213014985,476.0123332162922,307.072031542603,621.103991104869,324.5457338483146,446.44384948501875,334.2500585205993,754.742655664794,582.2262333216293,334.1418685627341,572.1674566947565,788.2214126872659,889.4218164794008,215.53846266385767,851.5123185861423,627.8664121020599,1016.2402709503746,309.89766210205994,897.8104517790263,646.6605951544943,1183.3657391151685,394.00814899344573,1126.0544680477528,631.7634451076779,1611.7477176966293,408.19178663389516,1578.5058227996255,606.8770482209738,1910.8805887172284,398.1002750468165,1879.6392205056181
506.9838483146068,350.8230556530899,570.2604898174158,308.5516883192884,476.6494762406368,307.42293568586143,621.7415730337079,326.18387172284645,446.517731741573,334.2224441128277,755.5293188202247,582.0670207162922,335.4190074906368,570.9664676966293,787.5452071629213,891.0013606039327,208.15228522940072,844.0043451544944,629.7073970037454,1017.7288155430712,296.7437675561798,877.5924625468165,647.603362008427,1189.3376931179776,400.46889630149815,1140.0286019428838,629.3722934222847,1609.0477235486892,407.1128862359551,1570.7503803838952,606.9108438670412,1910.6839595037454,398.5669036750936,1889.320868445693
509.1726650280899,349.2691874414794,572.0788711376405,308.68398144897003,478.5297430945693,307.45618270131087,623.3552785580525,324.5933915613296,423.2149754213483,332.84439372659176,757.8620230571162,581.2363939606741,336.4126141151686,570.4075959737828,790.7161458333335,890.6487739934457,227.03307876872657,817.1635065543071,628.5222817181648,1019.9083421114233,405.6591613998128,872.7465180243446,645.5775983146068,1187.6783415262173,415.2388371956929,1150.8537423923221,630.7437968164795,1610.6298279494383,629.7691362359551,1610.4280781835207,607.075871956929,1912.0675327715358,401.4853991104869,1892.4679599719102
510.5017409878277,348.2868826076779,572.9980834503746,307.59012172284645,479.90987827715355,305.33131803019666,624.8900544241574,323.91502808988764,425.39245376872657,331.9706446044008,756.8630032771537,581.4807540379213,344.2555448267791,568.1072975187266,794.0281191479401,889.2650544241574,200.21381963951308,807.0122308052435,632.6601269897003,1020.9240402621723,322.3501141151686,827.2271477059926,645.7841760299625,1185.6942006086142,419.0884685159176,1143.2978552200375,633.7364671114233,1613.8759655898878,407.05092755149815,1580.0077539794008,607.9536077949438,1906.7322097378278,401.74362125468167,1877.801088483146
510.80670646067415,350.76727820692884,573.0213453885768,310.21140566479403,480.10065543071164,307.3903836025281,625.0362827715355,325.7580977879214,425.1822185159176,333.01681004213486,757.5057789091761,581.9429936212547,349.45934281367045,573.872820107678,794.5102557350187,891.9179394897004,223.99922460205994,791.9136235955057,630.3800181413858,1021.3464126872659,305.4969130383895,807.8878452715356,649.6018404728466,1191.9697302200375,390.3230337078652,1195.1856566011236,633.5424713249065,1611.039618445693,631.7123858848315,1615.3208391853934,608.8009129213483,1906.4145891853934,399.9035141619851,1881.2043539325844
515.2522969335206,349.8278762874532,576.7345505617977,311.34323062968167,482.9383924391386,308.19500526685397,627.3635738529963,328.2228757022472,428.3900983146068,333.1892263576779,759.5047694288389,581.9072229049626,359.62773583801504,571.7983014396068,798.6571716994383,899.3518843632959,247.6489349250936,767.2638693820224,632.0867714185395,1023.683213366105,213.45169124531833,801.0483965355805,631.3367567883895,1195.78125,420.7197302200375,1160.0783444522472,632.209298923221,1610.2813377808989,410.45455875468167,1579.3330114700375,606.4018609550562,1907.048367275281,402.83737125468167,1893.4968984082398
518.0857911985019,350.76910697565546,558.4620786516854,307.84413769897003,485.88219803370794,309.0311183286517,632.2638693820224,328.82369937968167,433.42096793071164,333.83928048923224,759.0753745318352,583.4078739466293,378.61986481741576,570.8896594101124,773.1334854868915,883.2682291666667,263.93967989232215,752.2239290730338,637.9040115870787,1023.3628862359551,138.74926849250937,783.0408034878277,634.4582455524344,1193.545470505618,392.2304394897004,1208.1176117743446,635.2042368913858,1615.280313670412,415.71248829588023,1597.8424918071162,603.2636206694757,1912.0594861891386,410.4943527621723,1895.3626814138577
517.4166081460675,351.91505003511236,556.8378394194757,308.8073501872659,485.08887816011236,311.19367392322096,631.8457397003747,330.1295865519663,432.2947389981274,335.50104605571164,755.7105132256554,582.5788199321162,380.5965443586142,571.9724733731274,774.3967257724719,882.9507549157304,232.92383544007498,755.3243504213483,639.5696541432585,1024.5134743679776,92.19218164794006,779.672504096442,656.5475772471912,1189.5334445224719,394.58099250936334,1210.402182818352,635.1117011938202,1619.6611657303372,410.75162394662925,1582.7541257022472,604.4747044709738,1918.0154201779028,407.4868328651686,1895.1212839419477
517.1828915028091,356.63795499765916,575.9808052434457,309.8265961493446,490.1964829119851,312.12137172284645,630.9328183520599,332.190389454588,431.902504681648,338.0295016970974,755.7006378745318,583.2288009129213,376.28825784176036,571.3450593984082,773.3163623595506,883.3011470037453,254.1034644194757,713.6021623361423,640.4455612125469,1024.3872161750937,32.14141502808991,785.6912745786517,653.2803721910113,1189.4914559925094,390.650310159176,1204.0219013342696,635.5044475655432,1634.0822507022472,412.58719569288394,1590.1729283707866,604.1564255617977,1921.558988764045,406.3876697097379,1901.7365987827716
519.5228376638577,356.5551483497191,560.0869762406368,310.3246795997191,488.54005735018734,313.41244586844573,634.6657742275281,331.63192006086143,435.6221471207865,335.24948062968167,757.3283151919477,584.7987257139513,374.58172401685397,575.2864217579588,776.8976035814608,885.6069317649813,271.5388723080524,694.612739934457,642.9923776919477,1028.7526334269664,47.177661224250926,775.0669329353933,633.6315689372659,1192.2077627574906,419.6137640449439,1166.1219861891386,388.1614290730338,1576.3892790262173,416.6860516151686,1592.9396360018727,602.8335674157304,1917.7449087078653,410.92265039794006,1897.7816303838952
